canonical_product_id,product,segment,depth,evidence_status,defining_strength,main_gap,muslingo_move,official_sources
al-quran-tafsir-by-word,Al Quran (Tafsir & by Word),Quran study reader,deep,confirmed,"confirmed: 170+ translations/tafsirs, word roots and morphology, search, 80+ reciters, repeat, tajwid, notes and offline; inference: rich study tools, but no sequential Academy found",deepest free study reader in sample; little evidence of adaptive assessment,"Strong benchmark for source breadth, search and Quranic Arabic inspection.",https://apps.apple.com/us/app/al-quran-tafsir-by-word/id1437038111 | https://gtaf.org/apps/quran/
quran-companion,Quran Companion,Quran super-app with gamified hifz; legacy product was memorization-focused,deep,confirmed current Play listing; legacy availability not found; inference on focus advantage,broad utility and language coverage,brand/name ambiguity; shallow public evidence for learning outcomes and SRS,"Muslingo can win through a focused, inspectable daily learning path instead of a generic tool bundle",https://www.qurancompanion.com/ | https://play.google.com/store/apps/details?id=com.qurancompanion.app | https://apps.apple.com/us/app/quran-companion-memorize-quran/id1111843462
qutor,Qutor,Quran tutor marketplace,deep,mixed,"marketplace scale, free trial time and classroom tools are official",current vetting standard; child safety controls; dispute process; session recording; average price,"Muslingo can generate a portable learner profile and help users choose when a human tutor is needed, without becoming an unmoderated marketplace",https://qutor.com/
muslim-pro,Muslim Pro,"Quran, faith and media",deep,confirmed_with_gaps,"Memorization states, classes, age terms and privacy practices confirmed","No public mastery validity, current parental-control completion or SRS details",Breadth is not Muslingo's target; copy transparent maturity and data-use disclosures,https://www.muslimpro.com/academy-islamic-courses/ | https://support.muslimpro.com/hc/en-us/articles/29158808395289-Quran-Learn-Memorisation | https://support.muslimpro.com/help/en/articles/privacy-policy | https://apps.apple.com/us/app/muslim-pro-quran-athan/id388389451 | https://support.muslimpro.com/hc/en-us/articles/49726715851545-Guide-to-the-Updated-and-Enhanced-App | https://support.muslimpro.com/help/en/articles/community-ummah-pro | https://support.muslimpro.com/help/en/articles/quest-and-stars | https://apps.apple.com/us/app/muslim-pro-quran-athan/id388389451?see-all=reviews
arabic-unlocked,Arabic Unlocked,Quranic Arabic,deep,confirmed_with_gaps,Current mechanics and price boundary confirmed,Adaptive algorithm and learning effectiveness are not independently specified,Benchmark the bridge from app habit to paid teacher depth,https://arabicunlocked.com/ | https://arabicunlocked.com/academy/ | https://arabicunlocked.com/terms/
quranic,Quranic,Quranic Arabic,deep,confirmed_with_gaps,"Curriculum model, pricing and offline review confirmed","No speech, teacher review or published efficacy benchmark",Closest direct benchmark for Quranic-Arabic microlearning and retrieval,https://www.getquranic.com/learners/ | https://www.getquranic.com/pricing/ | https://www.getquranic.com/terms/ | https://play.google.com/store/apps/details?id=com.pnw.quranic.quranicandroid | https://apps.apple.com/us/app/quranic-quran-arabic-learning/id1381145375?see-all=reviews
bayyinah-tv,Bayyinah TV,Quranic Arabic and tafsir,deep,confirmed_with_gaps,Depth and pricing confirmed by official pages,Learning-outcome assessment and source metadata are uneven,"Best meaning/explanation benchmark, but Muslingo must add retrieval and mastery evidence",https://www.bayyinahtv.com/index | https://explore.bayyinahtv.com/arabic/ | https://bayyinah.com/terms-and-conditions/ | https://explore.bayyinahtv.com/arabic-resources/
understand-al-quran-academy,Understand Al Quran Academy,"Quranic Arabic, reading and tajwid",deep,confirmed_with_gaps,Curriculum breadth and teacher resources confirmed,No published adaptive engine or speech benchmark,Useful source and sequencing partner candidate; licensing must be explicit,https://understandquran.com/ | https://understandquran.com/courses/learn-tajweed-the-easy-way/ | https://understandquran.com/online-madrasah/ | https://understandquran.com/our-mobile-apps/
quizlet,Quizlet,Retrieval-practice benchmark,deep,confirmed_with_gaps,Child restrictions and non-assessment boundary confirmed,Content quality and SRS specifics vary,Child-account restrictions are a concrete model for Muslingo; never treat exposed-answer quizzes as certification,https://help.quizlet.com/hc/articles/360029923632/ | https://help.quizlet.com/hc/en-au/articles/360030640912-Student-activity-data | https://quizlet.com/features/learn | https://quizlet.com/features/study-modes | https://quizlet.com/features/ai-study-tools | https://help.quizlet.com/hc/en-us/sections/360005877232-Accessing-and-sharing | https://help.quizlet.com/hc/en-au/articles/360035357412-Adding-sets-to-a-class
monthly-quran,Monthly Quran,scheduled hifz retention,deep,confirmed official store description; inference on fixed-schedule limit,extremely transparent schedule and privacy,fixed intervals are not response-adaptive; no objective assessment,Muslingo can offer a similarly understandable plan that adapts using observed recall and error recurrence,https://play.google.com/store/apps/details?id=com.monthlyquran.app
deenyou,Deenyou,Scholar-reviewed Islamic learning for kids,deep,confirmed,"Five-minute lessons, stories and Echo recitation mode; Streak; XP; seasonal events","Claims about 40,000 families and review rigor were not independently verified",Benchmark for parent-visible AI audit trail and gentle speech feedback,https://deenyou.com/
qalam-institute,Qalam Institute,Seerah and faith learning,deep,confirmed_with_gaps,Named content and long-form depth confirmed,No mastery analytics or item-level assessment,Audio narrative benchmark; Muslingo should convert stories into retrieval tasks with citations,https://www.qalaminstitute.org/seerah/ | https://www.qalam.institute/online-class-recordings | https://www.qalam.institute/terms-conditions | https://www.qalam.institute/links
hifz-musaa-id,Hifz Musaa'id,serious audio repetition and hifz coach,deep,confirmed official product/pricing/privacy; not found scheduler method; inference on complementarity,"excellent repetition controls, transparent future pricing, low-pressure design",no objective recitation checking; source/translation governance not prominent,Muslingo can add assessment and understanding while preserving the respectful low-pressure practice philosophy,https://www.hifzmusaaid.com/ | https://hifzmusaaid.com/privacy | https://play.google.com/store/apps/details?id=com.kagalwalas.hifzcompanion | https://apps.apple.com/us/app/hifz-musaaid-memorize-quran/id6767211882
hellotalk,HelloTalk,social language exchange,deep,confirmed + inference + not found,AI partner matching by goals/interests/schedule/level is claimed [confirmed]; No SRS confirmed [not found]; Conversation/community-led rather than guided curriculum [confirmed],"Feed dynamics, stranger contact, popularity metrics and unverifiable religious advice are unacceptable by default",Contextual human correction; interest matching; live practice,https://www.hellotalk.com/en/features | https://www.hellotalk.com/en/about
falou,Falou,speech-first language app,deep,confirmed + not found,"Course adapts to difficulties and weak spots [confirmed]; Customized review for long-term memory; algorithm not public [confirmed/not found]; Practical conversation, reading, listening, writing and speaking [confirmed]",Do not force unnatural slow recitation to satisfy ASR; failure must be separated from learner error,Speak early; weak-spot practice; realistic scenario framing,https://falou.app/ | https://falou.app/download-android
mosalingua,MosaLingua,SRS language learning,deep,confirmed + not found,"Personalized plan plus selection by needs and level [confirmed]; Core MOSALearning method uses spaced repetition at optimal times [confirmed]; Multi-stage listening, pronunciation, reading and writing [confirmed]",Credit scarcity must not interrupt required practice; imported media needs rights and source review,Human-authored plan; bounded AI minutes; combine SRS with expert checkpoints,https://academy.mosalingua.com/mosaweb/?lang=en&preferred=1 | https://academy.mosalingua.com/mosatraining-sales-page/?lang=en&preferred=1
noor-kids,Noor Kids,Story-led Islamic character curriculum,deep,confirmed,Relatable stories and guided character-building activities; Narrative identification and monthly continuity; game economy not central,"Strong identity learning but limited Quran reading, speech and adaptive review",Benchmark for age-appropriate contemporary scenarios and identity confidence,https://help.noorkids.com/support/solutions/articles/13000116903-character-building-program-curriculum | https://noorkids.com/products/treehouse | https://noorkids.com/collections/subscriptions/products/noor-kids-character-building-program-3 | https://help.noorkids.com/support/solutions/articles/13000117713-subscription-plans-pricing | https://apps.apple.com/in/app/noor-kids/id1462609720 | https://noorkids.com/
rocket-languages,Rocket Languages,structured audio language course,deep,confirmed + not found,"Smart review targets weak spots; exact algorithm not public [confirmed/not found]; Reinforcement activities and hard-phrase review [confirmed]; Interactive audio, language/culture, role-play and reinforcement [confirmed]",Leaderboard and binary scores should be opt-in; speech failure must never penalize learner,Listen-record-playback-retry; visible service failure; culture/context beside language,https://apps.apple.com/us/app/rocket-languages/id597293943 | https://www.rocketlanguages.com/pricing | https://www.rocketlanguages.com/blog/new-release-of-rocket-languages-on-desktop
babbel,Babbel,structured language learning,deep,confirmed + not found,"Course recommendations exist, but adaptation logic is not public [not found]; Review manager uses spaced repetition; errors return sooner, correct items less often [confirmed]; Expert-built lessons add vocabulary into Review [confirmed]",Do not copy unsupported fluency claims or treat vocabulary recall as Quran recitation mastery,Error-sensitive review scheduling; calm mastery-first tone,https://www.babbel.com/ | https://support.babbel.com/hc/en-us/articles/360037496932-Memorizing-vocabulary
qur-an-for-all,Qur'an for All,Structured lecture library,deep,confirmed,"Guided lecture series across Quran, tafsir, hadith, seerah, tajwid and duas; Continuation through organized series; no game mechanics evidenced",Primarily passive audio/lecture consumption rather than active retrieval,"Benchmark for broad, organized trusted content; Muslingo can add active practice",https://apps.apple.com/us/app/quran-for-all/id840190258
hifz-tracker,Hifz Tracker,student/parent/teacher progress tracker,deep,confirmed Play listing and data-safety declaration; inference on security/learning gap,clear administration for independent and classroom hifz,reported unencrypted data and no learning/recitation engine; teacher workflow depth unclear,Muslingo can replace manual tracking with integrity-protected automatic evidence and secure role-based dashboards,https://play.google.com/store/apps/details?id=com.hifztracker.app | https://hifztracker.com
noor-quran-companion,Noor - Quran Companion,Subscription Islamic learning app,deep,confirmed,"confirmed: Quran/Hadith grounding; full reader/audio depth not found; confirmed: guided journeys, bite-sized lessons, quizzes and visual progress","closest Duolingo-like Islam learning proposition in this sample, but not a full Quran recitation coach",Relevant adjacency for course-path UX and source-linked AI answers.,https://apps.apple.com/us/app/noor-quran-companion/id6751915818
deenup,DeenUp,Swipe-based Islamic learning,deep,confirmed,"Swipe through short lessons, answer quick quizzes and return daily; Daily streak and low-friction feed interaction",Feed behavior may encourage consumption more than cumulative mastery,"Useful benchmark for discovery, but Muslingo should keep a directed path",https://www.deenup.app/
tajweedmate,TajweedMate,Tajwid and recitation,deep,confirmed_with_gaps,"Offline audio handling, curriculum topics and opt-in donation confirmed","No independent model accuracy, dialect/age fairness or rule-level validation benchmark","Muslingo needs the same explicit recording consent, but stronger evaluation evidence",https://tajweedmate.com/ | https://tajweedmate.com/privacy.html | https://apps.apple.com/us/app/tajweedmate/id1547696689 | https://play.google.com/store/apps/details?id=com.tajweedmate.androidapp
learn-quran-tajwid,Learn Quran Tajwid,Tajwid curriculum,deep,confirmed_with_gaps,Topic count and Theory-Practice-Test loop confirmed,"Reviewer identities, assessment validity and accessibility not fully public","A strong minimum tajwid syllabus; Muslingo's 36 lessons need more transfer practice, not duplicate theory",https://tajwid.learn-quran.co/ | https://tajwid.learn-quran.co/id/faq/ | https://tajwid.learn-quran.co/privacy-policy/ | https://tajwid.learn-quran.co/terms-of-use/ | https://play.google.com/store/apps/details?id=com.bi.learnquran | https://apps.apple.com/us/app/learn-quran-tajwid/id960134803 | https://apps.apple.com/us/app/learn-quran-tajwid/id960134803?see-all=reviews
al-kisa-kisa-kids,Al-Kisa / Kisa Kids,teacher and parent curriculum,deep,confirmed,grade scope and teacher/student resource structure are official,digital analytics; parent progress; exact reviewer roster per module; interoperability,"Muslingo should disclose its own doctrinal/editorial scope, link sources and use licensed partnerships instead of silently blending traditions",https://us.alkisafoundation.org/collections/islamic-curriculum|https://uk.alkisafoundation.org/products/grade-kindergarten-teacher-edition|https://uk.alkisafoundation.org/products/quran-reading-grade-5
hifz-focus,Hifz Focus,teacher-guided hifz/tajwid for students and institutes,deep,confirmed teacher workflow; not found privacy/pricing; inference on partnership fit,strongest human-in-the-loop correction and role design,requires teacher/institution supply; thin public privacy/pricing/accessibility details,Muslingo can use this as escalation layer or partnership benchmark after automated practice identifies uncertainty,https://hifz.iqs.org.in/ | https://iqs.org.in/
quran-revolution,Quran Revolution,Teacher-led Quran recitation,deep,confirmed_with_gaps,Human feedback loop confirmed on official page,"Current curriculum inventory, price and safeguarding details are sparse",Benchmark the accountability of submitted recitation and specific teacher comments,https://easierquran.com/
hafiz-okulu,Hafiz Okulu,Turkish cyclical hifz school,deep,confirmed store claims; not found validation/privacy; inference on regional positioning,localized traditional Turkish method and similar-verse alerts,"no evidence for speech accuracy, privacy, teacher review or languages beyond Turkish","Muslingo can attract regional learners with multilingual support, transparent voice handling and flexible path selection",https://play.google.com/store/apps/details?id=com.hafizolrn
preply,Preply,tutor marketplace and learning platform,deep,confirmed + not found,"Tutor feedback, lesson insights and tailored exercise suggestions [confirmed]; Personalized vocabulary practice; exact SRS not found [confirmed/not found]; Live lesson, between-session practice, seven-unit progress test [confirmed]","Recording and analyzing recitation requires explicit consent, deletion and strict expert qualification",Expert escalation; post-session action list; learner-owned deletion of audio insights,https://preply.com/en/how-it-works | https://help.preply.com/en/articles/6655082-preply-placement-tests-assess-your-language-skills-track-your-progress-and-achieve-your-goals | https://help.preply.com/en/articles/10385861-lesson-insights
lingopie,LingoPie,Video immersion benchmark,mapped,confirmed_with_gaps,Dual subtitles and media-to-vocabulary loop,Content rights and Quran suitability are central constraints,Turn licensed audio/video into active tasks with source metadata,https://lingopie.com/
drops,Drops,visual vocabulary games,deep,confirmed + inference + not found,Topic and review tools exist; personalized path not demonstrated [not found]; Review Dojo reinforces learned vocabulary; exact schedule not public [confirmed/not found]; Five-minute visual game sessions [confirmed],"Time/battery gates that block learning, shallow picture guessing and vocabulary-only mastery are unsuitable",Ultra-low activation energy; polished microinteractions; visual mnemonic support,https://languagedrops.com/ | https://languagedrops.com/welcome | https://planblabs.zendesk.com/hc/en-us/articles/360012598660-What-s-the-difference-between-free-and-premium-subscriptions | https://apps.apple.com/us/app/drops-language-learning-games/id939540371
salahmate,SalahMate,Voice-guided prayer learning,deep,inference,"Practice and actual-prayer modes with voice recognition, animations, wudu and surah reading; Prayer tracking; progress; no robust game loop evidenced","High-risk live voice and AI-faith features lack public validation, scope and governance evidence",Useful interaction benchmark; Muslingo needs stricter claim boundaries and privacy detail,https://apps.apple.com/us/app/salahmate/id6754115719
hifzpath,HifzPath,voice-matched Quran memorization,deep,confirmed store claims; not found accuracy/pricing; inference on behavioral risk,simple live feedback and clear text-match framing,"leaderboard can reward quantity; no SRS, meaning, teacher review or public speech benchmark","Muslingo can combine similarly understandable feedback with spaced repair, meaning and private mastery instead of public volume competition",https://hifzpath.app/ | https://play.google.com/store/apps/details?id=com.hifzpath.app | https://hifzpath.app/privacy.html | https://hifzpath.app/terms.html
quran-widgets-verses-duas,Quran Widgets: Verses & Duas,Widget-led Islamic superapp,deep,confirmed,confirmed: Quran plus theme/category browsing; reader depth not fully found; not found,"broad lifestyle surface optimized for frequent glance exposure, not mastery",Strong benchmark for lock-screen acquisition and daily visibility.,https://apps.apple.com/us/app/quran-widgets-verses-duas/id6758387571
muslim-daily,Muslim Daily,Widget-led Islamic utility,deep,confirmed,confirmed: full Quran and audio; audio is Premium; not found,compact superapp centered on glanceable system surfaces,Exact subscription price not captured.,https://apps.apple.com/us/app/muslim-daily-quran-prayer/id6759206519
yaqeen-curriculum,Yaqeen Curriculum,Youth faith learning,deep,confirmed_with_gaps,"Age range, 3-5 lesson units, assessment and scholarly review confirmed",No longitudinal mastery system or child account controls,Governance and correction workflow should be copied before scaling faith content,https://yaqeeninstitute.org/curriculum | https://yaqeeninstitute.org/about-us/our-commitment-to-scholarly-rigor
